node;pid;tid;core_id;sample_count;
PC-SU;157694;157706;1;1376;
PC-SU;157694;157706;4;1435;
PC-SU;157694;157706;5;50;
PC-SU;157694;157708;4;1376;
PC-SU;157694;157708;5;1414;
PC-SU;157694;157709;1;385;
PC-SU;157694;157709;2;1088;
PC-SU;157694;157709;5;1296;
PC-SU;157694;157694;7;359;
PC-SU;157694;157694;8;2539;
PC-SU;157694;157707;1;1076;
PC-SU;157694;157707;2;2;
PC-SU;157694;157707;7;1760;
PC-SU;157694;157707;8;7;
PC-SU;157694;157704;3;2786;
PC-SU;157694;157703;6;1750;
PC-SU;157694;157703;7;728;
PC-SU;157694;157703;8;345;
PC-SU;157694;157705;1;1;
PC-SU;157694;157705;2;1776;
PC-SU;157694;157705;6;1044;
PC-SU;157694;157705;7;22;
